Cric_ID,Coach_Name,Born_in,Age,Coaching_Year,Status,Picture,Highlights
38710,Daniel Vettori,"January 27, 1979, Auckland",45 Y,Coaching Year - 2024,Currently the head coach of the Sunrise Hyderabad in the Indian Premier League (IPL).,assets/images/Daniel Vettori.jpg,Text
43937,Mickey Arthur,"May 17, 1968, Johannesburg, Transvaal",56 Y,Coaching Year - 2024,Recently appointed as the head coach of Sri Lanka's national team.,assets/images/Mickey Arthur.jpg,Text
44111,Mark Boucher,"December 03, 1976, East London, Cape Province",47 Y,Coaching Year - 2024," Mark Boucher, under whom the franchise Mumbai Indians finished last in IPL 2024. Served as South Africa's head coach but resigned in late 2022 due to personal reasons.",assets/images/Mark Boucher.jpg," South Africa National Team (Head Coach, 2019-2023)
Tenure (2019-2023):
Mark Boucher was appointed as the head coach of South Africa’s national cricket team in 2019, taking over from Ottis Gibson.
Under Boucher’s guidance, South Africa experienced some strong performances in both Test and limited-overs formats, despite a period of transition following the retirements of key players like AB de Villiers and Dale Steyn.
He played a critical role in revamping the team’s approach, particularly focusing on building a strong, youthful team.
His coaching was pivotal in South Africa's efforts in the 2021 ICC T20 World Cup and their competitive performances in the 2020-21 Test series against Sri Lanka and Pakistan.
* Domestic Cricket Coaching (Gauteng and Titans)
Domestic Coaching Roles:
Boucher had previously been involved in coaching roles within South African domestic cricket, particularly working with the Titans, where he made a significant impact in nurturing young talent.
He took on the role of head coach for the Titans in the South African domestic scene, leading the team to multiple domestic titles.
His coaching philosophy focused on the development of all-round cricketers, with a strong emphasis on adaptability, consistency, and teamwork.
* IPL Coaching 
* Tenure (Kolkata Knight Riders, 2012):
Boucher also took on a coaching role in the Indian Premier League (IPL) as the wicket-keeping coach for the Kolkata Knight Riders (KKR) in 2012.
During this period, KKR went on to win the 2012 IPL title, and Boucher’s expertise helped improve the performance of the team’s wicketkeepers and fielding strategies.
* Tenure (Mumbai Indians, 2024):
Boucher also took on a coaching role in the Indian Premier League (IPL) as head coach for the Mumbai Indians in 2014."
44149,Johan Botha,"May 02, 1982, Johannesburg, Transvaal",42 Y,Coaching Year - 2024,Coaching in domestic leagues and with various international teams in the past but not in a current major international role.,assets/images/Johan Botha.jpg,Text
45813,Gary Kirsten,"November 23, 1967, Cape Town, Cape Province",56 Y,Coaching Year - 2024,Involved in coaching roles at the domestic level but not currently a national team coach.,assets/images/Gary Kirsten.jpg,Text
50710,Kumar Sangakkara,"October 27, 1977, Matale",47 Y,Coaching Year - 2024,Not currently involved in coaching roles but remains a prominent figure in cricket commentary and mentoring. Kumar Sangakkara has been appointed as the mentor of Kolkata Knight Riders for IPL 2025,assets/images/Kumar Sangakkara.jpg,Text
53915,Anju Jain,"August 11, 1974, Delhi",50 Y,Coaching Year - 2024,No current coaching role in international cricket.,assets/images/Anju Jain.jpg,Text
54046,Sudha Shah,"22 June 1958, Cannanore, India",66 Y,Coaching Year - 2024,"Involved in coaching roles in women's cricket in India, though not in the national team.",assets/images/Sudha Shah.jpg,Text
54051,Purnima Rau,"January 30, 1967, Secunderabad, Andhra Pradesh",57 Y,Coaching Year - 2024,Has coached the Indian women's cricket team in the past and remains involved with women's cricket coaching.,assets/images/Purnima Rau.jpg,Text
54274,Shantha Rangaswamy,"1 January 1954, Madras, Madras State, India",70 Y,Coaching Year - 2024,Active in coaching roles within women's cricket in India.,assets/images/Shantha Rangaswamy.jpg,Text
55424,Duncan Fletcher,"September 27, 1948, Salisbury (now Harare)",76 Y,Coaching Year - 2024,"Former head coach of India and Zimbabwe, now no longer active in coaching roles.",assets/images/Duncan Fletcher.jpg,Text
55427,Andy Flower,"April 28, 1968, Cape Town, Cape Province, South Africa",56 Y,Coaching Year - 2024,"Andy Flower is currently the head coach of the Royal Challengers Bangalore (RCB) in the Indian Premier League (IPL). He has also coached franchises in other leagues, including the Multan Sultans in the Pakistan Super League, the St Lucia Kings in the Caribbean Premier League, and the Trent Rockets in The Hundred.",assets/images/Andy Flower.jpg,Text
49289,Mahela Jayawardene,,47 Y,Coaching Year - 2024,Head coach of the Mumbai Indians in the IPL in 2025.,assets/images/Mahela.jpg,"Sri Lanka National Team (Head Coach, 2017-2019)
Tenure (2017-2019):
Mahela Jayawardene served as the head coach of the Sri Lankan national cricket team in 2017-2019, initially as part of a coaching setup that included Nic Pothas.
During his tenure, Sri Lanka faced challenges but also saw a rise in the potential of several young cricketers. He focused on building a strong team foundation, particularly emphasizing the need for consistency and adaptability in all formats.
Jayawardene helped guide Sri Lanka through a period of transition, mentoring the younger generation of cricketers while offering tactical insights based on his vast experience.
Under his coaching, Sri Lanka made strides in various formats, including competitive performances in the 2019 Cricket World Cup.
* Sri Lanka National Team (Head Coach, 2017-2019)
Tenure (2017-2019):
Mahela Jayawardene served as the head coach of the Sri Lankan national cricket team in 2017-2019, initially as part of a coaching setup that included Nic Pothas.
During his tenure, Sri Lanka faced challenges but also saw a rise in the potential of several young cricketers. He focused on building a strong team foundation, particularly emphasizing the need for consistency and adaptability in all formats.
Jayawardene helped guide Sri Lanka through a period of transition, mentoring the younger generation of cricketers while offering tactical insights based on his vast experience.
Under his coaching, Sri Lanka made strides in various formats, including competitive performances in the 2019 Cricket World Cup.
* IPL Coaching (Mumbai Indians, 2017-2022)
Tenure (2017-2022):
After his playing career, Jayawardene transitioned to coaching in the Indian Premier League (IPL), taking on the role of head coach for Mumbai Indians.
Under his guidance, Mumbai Indians became one of the most successful franchises in IPL history, winning the IPL title four times (2017, 2019, 2020, 2021-22).
Jayawardene was instrumental in nurturing young talent like Rohit Sharma, Jasprit Bumrah, and Hardik Pandya, helping them improve their skills and elevate their performances in high-pressure situations.
He instilled a winning mindset in the team and focused on building a balanced squad with a focus on both strong batting and disciplined bowling.
* Other Coaching Roles
T20 Leagues (Head Coach and Mentor):
In addition to the IPL, Jayawardene has been involved in various other domestic and franchise-based leagues, such as the Karachi Kings in the Pakistan Super League (PSL) and the Hong Kong T20 Blitz.
His coaching style is highly regarded for focusing on technique, mental strength, and team unity. "
